PIC,Title,Author,Pros,Cons,OCN,Summary,Verdict,URL,Date
https://i.rtings.com/images/reviews/headphones/senso/activbuds-s-250/activbuds-s-250-design-medium.jpg,SENSO ActivBuds S-250 Bluetooth Headphones Review,Sam Vafaei,Stable for sports.,Deal breaker sound quality.,Headphones,The Senso Bluetooth headphones ActivBuds S-250 are good sports headphones but subpar for most other use cases due to their poor sound quality. They're stable and...,,https://www.rtings.com/headphones/reviews/senso/activbuds-s-250-bluetooth-headphones,2018-05-03
https://i.rtings.com/images/reviews/headphones/rovking/v1/v1-design-medium.jpg,Rovking V1 Review,Sam Vafaei,Minimal leakage.,Cheap build quality.,Headphones,"The Rovking V1 are basic in-ear headphones. They're lightweight, compact and stable enough for sports use. However, they feel cheaply made and not durable. They ...",,https://www.rtings.com/headphones/reviews/rovking/v1,2016-08-01
https://i.rtings.com/images/reviews/headphones/sms-audio/street-by-50-active-noise-cancelling/street-by-50-active-noise-cancelling-design-medium.jpg,SMS Audio Street by 50 Review,Sam Vafaei,Good reproduction of the mid-range.,Poor noise isolation.,Headphones,The SMS Audio STREET by 50 Active Noise Cancelling are fashion-forward headphones that look stylish and deliver decent bass-heavy audio reproduction. They feel r...,,https://www.rtings.com/headphones/reviews/sms-audio/street-by-50,2016-03-09
https://i.rtings.com/images/reviews/headphones/razer/kraken-usb/kraken-usb-design-medium.jpg,Razer Kraken USB Review,Sam Vafaei,Great microphone.,Poor noise isolation.,Headphones,"The Kraken USB are a decent gaming headset with low latency but poor design. They have a great mic and do not leak too much, but they're a bit too tight on the h...",,https://www.rtings.com/headphones/reviews/razer/kraken-usb,2017-10-17
https://i.rtings.com/images/reviews/headphones/razer/kraken-pro-v2/kraken-pro-v2-design-medium.jpg,Razer Kraken Pro V2 Review,Sam Vafaei,Sturdy and durable build quality.,Lack of software support.,Headphones,The Razer Kraken Pro V2 are an above-average and sturdy gaming headset with a great microphone. The mic accurately reproduces your voice and filters out a lot of...,,https://www.rtings.com/headphones/reviews/razer/kraken-pro-v2,2018-03-06
https://i.rtings.com/images/reviews/headphones/razer/kraken-tournament-edition/kraken-tournament-edition-design-medium.jpg,Razer Kraken Tournament Edition Review,Jean-Simon Bonneterre,Sturdy and durable build quality.,Bulky design.,Headphones,"The Razer Kraken Tournament Edition are decent gaming headphones. They have a great microphone for online gaming and have a great gaming software app, which the ...",,https://www.rtings.com/headphones/reviews/razer/kraken-tournament-edition,2019-04-16
https://i.rtings.com/images/reviews/headphones/razer/kraken-x/kraken-x-design-medium.jpg,Razer Kraken X Review,Ian McPhail,Lightweight design.,Cheap build quality.,Headphones,The Razer Kraken X are ordinary gaming headphones. They have a lightweight design that’s fairly comfortable and a bit less bulky than other Kraken headsets we’ve...,,https://www.rtings.com/headphones/reviews/razer/kraken-x,2019-07-30
https://i.rtings.com/images/reviews/headphones/razer/man-o-war/man-o-war-design-medium.jpg,Razer Man O’ War Wireless Review,Sam Vafaei,Good sound quality.,Bulky design.,Headphones,"The Razer Man O War is an above-average sounding gaming headset. These headphones are a bit bulky and plasticky, especially when compared to the Kraken Pro V2. T...",,https://www.rtings.com/headphones/reviews/razer/man-o-war-wireless,2018-05-29
https://i.rtings.com/images/reviews/headphones/razer/nari-ultimate/nari-ultimate-design-medium.jpg,Razer Nari Ultimate Wireless Review,Ian McPhail,Unique haptic feedback system,Unstable fit prone to slipping off head,Headphones,"The Razer Nari Ultimate are good closed-back over-ear gaming headphones. They’re comfortable and well-built, but are very bulky and have poor stability. If you d...",,https://www.rtings.com/headphones/reviews/razer/nari-ultimate-wireless,2019-03-12
https://i.rtings.com/images/articles/brands-shots/headphones/razer/best-razer-medium.jpg,The 3 Best Razer Headsets of 2020: Reviews,Vanessa McCuaig,,,Headphones,"The best Razer headphones that we've tested so far are the Razer Nari Ultimate Wireless. They've got a unique haptic feedback feature, great microphone performance, and low latency for gaming.",,https://www.rtings.com/headphones/reviews/razer,2020-03-06
https://i.rtings.com/images/reviews/headphones/raycon/e25/e25-design-medium.jpg,Raycon E25 True Wireless Review,Jake Thauvette,Small and portable.,Overpowering bass.,Headphones,The Raycon E25 True Wireless are decent mixed usage in-ear headphones. They have a comfortable fit that's well-suited for sports and have an acceptable build qua...,,https://www.rtings.com/headphones/reviews/raycon/e25-true-wireless,2019-12-17
https://i.rtings.com/images/reviews/headphones/razer/hammerhead-true-wireless/hammerhead-true-wireless-design-medium.jpg,Razer Hammerhead True Wireless Review,Jake Thauvette,Earbuds feel quite stable in the ear.,"Latency is likely still too high for serious gamers, even with 'Gaming Mode' enabled.",Headphones,"The Razer Hammerhead True Wireless are passable truly wireless earbud headphones. While their earbud design doesn't go deep into the ear canal, unfortunately the...",,https://www.rtings.com/headphones/reviews/razer/hammerhead-true-wireless,2019-12-20
https://i.rtings.com/images/reviews/headphones/raycon/e100/e100-design-medium.jpg,Raycon E100 Truly Wireless Review,Jean-Simon Bonneterre,Good isolation performance.,Can be uncomfortable after a while.,Headphones,The Raycon E100 are decent truly wireless headphones that are fairly versatile. They have a V-shaped sound profile that has more emphasis in the bass and treble ...,,https://www.rtings.com/headphones/reviews/raycon/e100-truly-wireless,2019-10-28
https://i.rtings.com/images/reviews/headphones/raycon/e55/e55-design-medium.jpg,Raycon E55 Truly Wireless Review,Jake Thauvette,"Decently comfortable, come with multiple tip options.",Bad microphone.,Headphones,"The Raycon E55 are the upgraded version of the Raycon E50 Truly Wireless, although their sound performance is noticeably warmer and packs a lot more bass. These ...",,https://www.rtings.com/headphones/reviews/raycon/e55-truly-wireless,2019-11-19
https://i.rtings.com/images/reviews/headphones/runmus/rgb-k1-gaming-headset/rgb-k1-gaming-headset-design-medium.jpg,RUNMUS RGB K1 Gaming Headset Review,Jake Thauvette,Excellent microphone recording quality in quiet environments.,Inconsistent audio delivery across different users.,Headphones,"The RUNMUS RGB K1 Gaming Headset are okay wired gaming headphones. They have a cheap design that isn't very comfortable, and a dark, muffled sound profile that i...",,https://www.rtings.com/headphones/reviews/runmus/rgb-k1-gaming-headset,2020-02-12
https://i.rtings.com/images/reviews/headphones/raycon/e50/e50-design-medium.jpg,Raycon E50 Truly Wireless Review,Jean-Simon Bonneterre,"Decently comfortable, come with multiple tip options.","Bass-heavy, boomy sound profile.",Headphones,The Raycon E50 are unremarkable truly wireless headphones. They have a very dark and boomy sound profile and don’t have any features or performance that make the...,,https://www.rtings.com/headphones/reviews/raycon/e50-truly-wireless,2019-10-24
https://i.rtings.com/images/reviews/headphones/polk-audio/ultrafocus-8000/ultrafocus-8000-design-medium.jpg,Polk Audio UltraFocus 8000 Review,Sam Vafaei,Comfortable.,Cumbersome button layout,Headphones,"The Polk Audio UltraFocus 8000 are a great-sounding, comfortable pair of headphones. They have some flaws in their build design and noise isolation performance b...",,https://www.rtings.com/headphones/reviews/polk-audio/ultrafocus-8000,2016-02-26
https://i.rtings.com/images/reviews/headphones/rha/trueconnect/trueconnect-design-medium.jpg,RHA TrueConnect Truly Wireless Review,Jean-Simon Bonneterre,Stable and portable design for sports.,Dark-sounding audio reproduction.,Headphones,"The RHA TrueConnect are okay, mixed-usage, truly wireless in-ears that are great for sports. Their small design is stable, breathable, and portable. They also pa...",,https://www.rtings.com/headphones/reviews/rha/trueconnect-truly-wireless,2019-03-21
https://i.rtings.com/images/reviews/headphones/polk-audio/buckle/buckle-design-medium.jpg,Polk Audio Buckle Review,Marc Henney,Minimal leakage.,Poor noise isolation.,Headphones,"The Polk Buckle are well-made, sturdy headphones that sound a little dark and bass-heavy. They look and feel high-end, and they're sufficiently comfortable for m...",,https://www.rtings.com/headphones/reviews/polk-audio/buckle,2017-09-19
https://i.rtings.com/images/reviews/headphones/plantronics/backbeat-pro/backbeat-pro-design-medium.jpg,Plantronics Backbeat Pro Wireless 2014 Review,Sam Vafaei,Solid  build quality.,Heavy and stiff ear cups.,Headphones,"The Plantronics Backbeat Pro are an above-average pair of headphones. The ergonomic design is great, and the build quality is solid if a little stiff. The sound ...",,https://www.rtings.com/headphones/reviews/plantronics/backbeat-pro-wireless-2014,2016-02-26
https://i.rtings.com/images/reviews/headphones/plantronics/backbeat-go-600/backbeat-go-600-design-medium.jpg,Plantronics BackBeat Go 600 Wireless Review,Sam Vafaei,Above-average sound quality.,Flimsy build quality.,Headphones,The Plantronics BackBeat Go 600 Series are average mixed usage wireless over-ears with a decent sound quality. They have a lightweight design that's a bit remini...,,https://www.rtings.com/headphones/reviews/plantronics/backbeat-go-600-wireless,2018-05-29
https://i.rtings.com/images/reviews/headphones/articles/best/best-plantronics-medium.jpg,The 2 Best Plantronics Headphones of 2020: Reviews,Ian McPhail,,,Headphones,The best Plantronics Bluetooth headset we've tested so far is the Plantronics BackBeat Pro 2. These wireless over-ear headphones have a sturdy yet comfortable design that's impressively easy-to-use thanks to their intuitive physical controls. ,,https://www.rtings.com/headphones/reviews/plantronics,2020-02-28
https://i.rtings.com/images/reviews/headphones/plantronics/rig-800lx/rig-800lx-design-medium.jpg,Plantronics RIG 800LX Wireless Review,Sam Vafaei,Well-balanced sound.,Bulky and cumbersome.,Headphones,"The Plantronics RIG 800LX / 800HS are good gaming headphones with a comfortable and lightweight modular design. They're easy-to-use, have a great battery life an...",,https://www.rtings.com/headphones/reviews/plantronics/rig-800lx-wireless,2018-05-01
https://i.rtings.com/images/reviews/headphones/plantronics/backbeat-pro-2/backbeat-pro-2-design-medium.jpg,Plantronics BackBeat Pro 2 Wireless 2016 Review,Sam Vafaei,"Sturdy, durable build quality.",Noise isolation not as good as competing models.,Headphones,"The Plantronics BackBeat Pro 2 are good mixed usage wireless headphones and a much-improved design over the original BackBeat Pro. They're sturdy, comfortable he...",,https://www.rtings.com/headphones/reviews/plantronics/backbeat-pro-2-wireless-2016,2018-05-11
https://i.rtings.com/images/reviews/headphones/plantronics/backbeat-go-810/backbeat-go-810-design-medium.jpg,Plantronics BackBeat Go 810 Wireless Review,Jean-Simon Bonneterre,Good control scheme.,Disappointing ANC performance.,Headphones,The Plantronics BackBeat Go 810 are decent wireless over-ears for most use cases. They have great audio reproduction and are suitable for a wide variety of music...,,https://www.rtings.com/headphones/reviews/plantronics/backbeat-go-810-wireless,2019-03-05
https://i.rtings.com/images/reviews/headphones/plantronics/backbeat-fit/backbeat-fit-design-medium.jpg,Plantronics BackBeat Fit Wireless Review,Sam Vafaei,Stable fit for sports.,"Poor noise isolation, by design.",Headphones,The Plantronics Backbeat Fit are above-average sports headphones but mediocre for more casual everyday use cases. They have a sturdy and flexible build quality a...,,https://www.rtings.com/headphones/reviews/plantronics/backbeat-fit-wireless,2018-06-21
https://i.rtings.com/images/reviews/headphones/plane-quiet/platinum/platinum-design-medium.jpg,Plane Quiet Platinum Review,Sam Vafaei,Stable fit.,Poor and uneven sound reproduction.,Headphones,The Plane Quiet Platinum are surprisingly stable on your head and block a good amount of noise for commuting. They also don't leak much and won't be distracting ...,,https://www.rtings.com/headphones/reviews/plane-quiet/platinum,2016-05-25
https://i.rtings.com/images/reviews/headphones/panasonic/rp-hc56/rp-hc56-design-medium.jpg,Panasonic RP-HC56 Review,Sam Vafaei,Great noise isolation performance.,"Uncomfortable ""in ear"" fit.",Headphones,The Panasonic RP-HC56 are above-average noise cancelling earbuds. Their noise isolation is excellent and the audio profile is relatively balanced and woks well f...,,https://www.rtings.com/headphones/reviews/panasonic/rp-hc56,2016-02-26
https://i.rtings.com/images/reviews/headphones/parrot/zik-2-0/zik-2-0-design-medium.jpg,Parrot Zik 2/Zik 2.0 Wireless Review,Sam Vafaei,Great sturdy and durable design.,Sensitive touch controls.,Headphones,"The Parrot Zik 2.0 are an above-average, feature-packed set of headphones. The design is stylish and comfortable, but the unique touch controls can get a little ...",,https://www.rtings.com/headphones/reviews/parrot/zik-2-zik-2-0-wireless,2016-02-26
https://i.rtings.com/images/reviews/headphones/philips/shp9500/shp9500-design-medium.jpg,Philips SHP9500 Review,Sam Vafaei,Comfortable design.,"
Big and bulky headphones.",Headphones,The Phillips SHP9500 are a great pair of budget critical listening headphones. They're incredibly comfortable and have a sturdy yet lightweight build that feels ...,,https://www.rtings.com/headphones/reviews/philips/shp9500,2016-09-15
https://i.rtings.com/images/reviews/headphones/philips/fidelio-nc1/fidelio-nc1-design-medium.jpg,Philips Fidelio NC1 Review,Sam Vafaei,"Comfortable ""on-ear"" design.",Lacking volume controls.,Headphones,"The Philips Fidelio NC1 are surprisingly great ""on-ear"" headphones that have remarkably accurate audio reproduction. They lack a little in their build quality an...",,https://www.rtings.com/headphones/reviews/philips/fidelio-nc1,2016-02-26
https://i.rtings.com/images/reviews/headphones/panasonic/rp-hc200/rp-hc200-design-medium.jpg,Panasonic RP-HC200 Review,Sam Vafaei,"Lightweight, comfortable design.",Poor noise isolation.,Headphones,"The Panasonic RPHC200K are plasicky and cheap-looking noise-cancelling headphones. They're comfortable, won't leak too much and sound decent. However, they sever...",,https://www.rtings.com/headphones/reviews/panasonic/rp-hc200,2016-03-18
https://i.rtings.com/images/reviews/headphones/panasonic/rp-hje120/rp-hje120-design-medium.jpg,Panasonic ErgoFit RP-HJE120 Review,Sam Vafaei,Minimal leakage.,Poor noise isolation.,Headphones,"The Panasonic RP-HJE120-K ErgoFit are very basic in-ear headphones with no additional features. They have a decent sound and barely leak, even at high volumes. H...",,https://www.rtings.com/headphones/reviews/panasonic/ergofit-rp-hje120,2016-06-01
https://i.rtings.com/images/reviews/headphones/panasonic/rp-hc101/rp-hc101-design-medium.jpg,Panasonic RP-HC101 Review,Sam Vafaei,"Lightweight, compact design.",Flimsy build.,Headphones,The Panasonic RP-HC101 Slim Z are subpar on-ear headphones. They have a lightweight design and decent audio reproduction but feel flimsy and cheap. Ambient noise...,,https://www.rtings.com/headphones/reviews/panasonic/rp-hc101,2016-04-06
https://i.rtings.com/images/reviews/headphones/nad/viso-hp50/viso-hp50-design-medium.jpg,NAD VISO HP50 Review,Sam Vafaei,Good audio reproduction.,Poor noise isolation.,Headphones,The NAD HP50 are good critical listening headphones with a unique look and a decently durable design. They have a well-balanced sound and a stable fit that's goo...,,https://www.rtings.com/headphones/reviews/nad/viso-hp50,2018-04-03
https://i.rtings.com/images/reviews/headphones/parrot/zik-3-0/zik-3-0-design-medium.jpg,Parrot Zik 3/Zik 3.0 Wireless Review,Sam Vafaei,Great sturdy and durable design.,Sensitive touch controls.,Headphones,The Parrot Zik 3.0 are  decent headphones for most use cases with a stylish and well-engineered build quality. They feel solid and look premium. They also delive...,,https://www.rtings.com/headphones/reviews/parrot/zik-3-zik-3-0-wireless,2018-03-30
https://i.rtings.com/images/reviews/headphones/oppo/pm-3/pm-3-design-medium.jpg,Oppo PM-3 Review,Sam Vafaei,Above-average audio reproduction.,Poor noise isolation,Headphones,"The Oppo PM-3 are well-made critical listening headphones with a good sound. They have a mobile-friendly, planar magnetic design and a stylish yet sturdy build q...",,https://www.rtings.com/headphones/reviews/oppo/pm-3,2018-01-26
https://i.rtings.com/images/reviews/headphones/noontec/hammo-go/hammo-go-design-medium.jpg,Noontec Hammo Go Review,Sam Vafaei,"Lightweight, ergonomic design.",Poor noise isolation.,Headphones,"The Noontec Hammo Go Noise Cancelling are lightweight, fashionable headphones that offer decent audio reproduction that lacks a little bass. Unfortunately, their...",,https://www.rtings.com/headphones/reviews/noontec/hammo-go,2016-03-15
https://i.rtings.com/images/reviews/headphones/panasonic/rp-hc800/rp-hc800-design-medium.jpg,Panasonic RP-HC800 Review,Sam Vafaei,Sturdy build.,"Poor seal, leaks a lot of sound.",Headphones,"The Panasonic RP-HC800 are sturdy headphones that deliver great isolation. Unfortunately, they sound average-at-best, they're a little uncomfortable and the stif...",,https://www.rtings.com/headphones/reviews/panasonic/rp-hc800,2016-02-26
https://i.rtings.com/images/reviews/headphones/mpow/bluetooth-over-ear/bluetooth-over-ear-design-medium.jpg,Mpow 059 Wireless Review,Sam Vafaei,Good battery life.,Poor Noise Isolation.,Headphones,"The Mpow 059 Over-Ear are average mixed-usage wireless headphones. They're decently comfortable, they have a good control scheme and a long battery life. They wo...",,https://www.rtings.com/headphones/reviews/mpow/059-wireless,2018-05-15
https://i.rtings.com/images/reviews/headphones/nura/nuraphone/nuraphone-design-medium.jpg,Nura Nuraphone Wireless Review,Jean-Simon Bonneterre,Unique listening experience thanks to the personalization feature.,Odd comfort feeling due to the in-ear fit inside the over-ear cups.,Headphones,"The Nura Nuraphone are unique headphones thanks to their hybrid design. The over-ear part of the headphones provides you with punchy bass, while the in-ear part ...",,https://www.rtings.com/headphones/reviews/nura/nuraphone-wireless,2019-08-22
https://i.rtings.com/images/reviews/headphones/mpow/jaws/jaws-design-medium.jpg,Mpow Jaws 4.1 Wireless Review,Sam Vafaei,Good noise isolation.,Subpar sound quality.,Headphones,"The Mpow Jaws are versatile and budget headphones with a lackluster sound quality. They're portable, stable and have a more comfortable fit than typical in-ears....",,https://www.rtings.com/headphones/reviews/mpow/jaws-4-1-wireless,2017-07-25
https://i.rtings.com/images/reviews/headphones/monster/inspiration/inspiration-design-medium.jpg,Monster Inspiration Review,Sam Vafaei,Sturdy build.,Poor noise isolation.,Headphones,"The Monster Inspiration are sub-par-sounding headphones. They're sturdy and offer a unique and customizable headband design. Unfortunately, the poor noise isolat...",,https://www.rtings.com/headphones/reviews/monster/inspiration,2016-02-26
https://i.rtings.com/images/reviews/headphones/mpow/flame-pro/flame-pro-design-medium.jpg,Mpow Flame Pro Truly Wireless Review,Jake Thauvette,Outstanding total battery life.,Very bass-heavy sound profile may not be suitable for a wide variety of genres.,Headphones,The Mpow Flame Pro are a very good pair of sports truly wireless headphones. Their comfortable ear-hook design ensures a stable fit that'll keep these headphones...,,https://www.rtings.com/headphones/reviews/mpow/flame-pro-truly-wireless,2020-03-17
https://i.rtings.com/images/reviews/headphones/mpow/h5/h5-design-medium.jpg,Mpow H5 Wireless Review,Sam Vafaei,Above-average sound quality.,Below-average microphone.,Headphones,The Mpow H5 Active Noise Cancelling are decent mixed usage headphones with an above-average sound for their budget price tag. They are not quite as budget as the...,,https://www.rtings.com/headphones/reviews/mpow/h5-wireless,2018-09-19
https://i.rtings.com/images/reviews/headphones/monoprice/enhanced-active/enhanced-active-design-medium.jpg,Monoprice 10799 Review,Sam Vafaei,Excellent noise isolation.,In ear fit not always comfortable.,Headphones,"The Monoprice Enhanced Active are a superb set of in-ear earbuds, with  great noise isolation performance and balanced audio reproduction. The in-ear design is n...",,https://www.rtings.com/headphones/reviews/monoprice/10799,2016-02-26
https://i.rtings.com/images/reviews/headphones/monster/clarity-101-airlinks/clarity-101-airlinks-design-medium.jpg,Monster Clarity 101 AirLinks Truly Wireless Review,Jake Thauvette,Good passive noise isolation.,"Dull, dark sound profile.",Headphones,The Monster Clarity 101 AirLinks are truly wireless in-ear headphones suitable for those on the move. They're good for sports or commuting due to their portable ...,,https://www.rtings.com/headphones/reviews/monster/clarity-101-airlinks-truly-wireless,2020-03-12
https://i.rtings.com/images/reviews/headphones/marshall/mid-anc/mid-anc-design-medium.jpg,Marshall MID ANC Wireless Review,Sam Vafaei,Efficient and easy-to-use control scheme,Mediocre noise canceling,Headphones,"The Marshall MID ANC are good-sounding, mixed usage on-ear headphones with an efficient control scheme. They are lightweight yet durable, and have a good battery...",,https://www.rtings.com/headphones/reviews/marshall/mid-anc-wireless,2018-04-17
https://i.rtings.com/images/reviews/headphones/monoprice/noise-cancelling/noise-cancelling-design-medium.jpg,Monoprice 110010 Review,Sam Vafaei,Great bass and mid-range audio reproduction.,Creaky headband.,Headphones,The Monoprice Hi-Fi Active Noise Cancelling are an overall decent pair of headphones. They look stylish and deliver solid bass and mid-range audio reproduction. ...,,https://www.rtings.com/headphones/reviews/monoprice/110010,2016-03-11
https://i.rtings.com/images/reviews/headphones/mpow/h10/h10-design-medium.jpg,Mpow H10 Wireless Review,Jean-Simon Bonneterre,Comfortable fit.,Leaky at high volumes.,Headphones,The Mpow H10 are decent noise cancelling over-ear headphones that are versatile for everyday casual use. They offer a great value thanks to their decent sound qu...,,https://www.rtings.com/headphones/reviews/mpow/h10-wireless,2019-04-03
https://i.rtings.com/images/reviews/headphones/marshall/major-ii/major-ii-design-medium.jpg,Marshall Major 2/Major II Review,Sam Vafaei,"Lightweight, and stable design.",Poor noise isolation.,Headphones,"The Marshall Major II are straightforward on-ear headphones with a decent sound for recording or critical listening. They have a relatively unique look, they're ...",,https://www.rtings.com/headphones/reviews/marshall/major-2-major-ii,2018-09-12
https://i.rtings.com/images/reviews/headphones/microsoft/surface-headphones/surface-headphones-design-medium.jpg,Microsoft Surface Wireless Headphones Review,Marc Henney,Comfortable design.,Subpar microphone for making calls.,Headphones,The Microsoft Surface Headphones are above-average mixed usage headset. They are comfortable for long listening sessions and have a good build quality that shoul...,,https://www.rtings.com/headphones/reviews/microsoft/surface-wireless-headphones,2018-12-24
https://i.rtings.com/images/reviews/headphones/mixcder/e9/e9-design-medium.jpg,Mixcder E9 Wireless Review,Jean-Simon Bonneterre,Good audio reproduction.,"Slightly plasticky build, not the most durable.",Headphones,The Mixcder E9 are good budget headphones that perform quite well. They have a good overall audio reproduction and their ANC system is quite decent as well. They...,,https://www.rtings.com/headphones/reviews/mixcder/e9-wireless,2019-10-03
https://i.rtings.com/images/reviews/headphones/mee-audio/m6/m6-design-medium.jpg,MEE audio Sport-Fi M6 Review,Sam Vafaei,Lightweight and compact design.,Poor audio reproduction.,Headphones,"The MEE M6 have a typical in-ear design with ear hooks that make them a bit more stable for sports. They have very low leakage, they block a fair amount of noise...",,https://www.rtings.com/headphones/reviews/mee-audio/sport-fi-m6,2018-01-02
https://i.rtings.com/images/reviews/headphones/mee-audio/x6-plus/x6-plus-design-medium.jpg,MEE audio X6 Plus Wireless Review,Sam Vafaei,Portable and stable design.,Poor noise isolation.,Headphones,"The Mee Audio X6 Plus are simple, budget wireless in-ears suitable for sports. They do decently well for other use cases but have a short battery life, a mediocr...",,https://www.rtings.com/headphones/reviews/mee-audio/x6-plus-wireless,2018-01-30
https://i.rtings.com/images/reviews/headphones/mee-audio/m6-pro/m6-pro-design-medium.jpg,MEE audio M6 PRO Review,Sam Vafaei,Portable and stable design.,Slightly bright audio reproduction.,Headphones,The Mee M6 Pro are a more durable and better-built upgrade to the M6. They come with two cables and the transparent casing on the earbuds and the in-line remote ...,,https://www.rtings.com/headphones/reviews/mee-audio/m6-pro,2017-12-26
https://i.rtings.com/images/reviews/headphones/lucidsound/ls31/ls31-design-medium.jpg,LucidSound LS31 Wireless Review,Marc Henney,Comfortable design.,Loose fit.,Headphones,The LucidSound LS31 is a good wireless gaming headset with plenty of control options but takes some time to get used to. It has decent audio reproduction and is ...,,https://www.rtings.com/headphones/reviews/lucidsound/ls31-wireless,2019-02-05
https://i.rtings.com/images/reviews/headphones/logitech/g430/g430-design-medium.jpg,Logitech G430 Gaming Headset Review,Marc Henney,Negligible latency.,Mediocre build quality.,Headphones,The Logitech G430 are above-average gaming headphones with a good-enough sound for critical listening. They're comfortable and have a decent mic that filters a l...,,https://www.rtings.com/headphones/reviews/logitech/g430-gaming-headset,2018-03-23
https://i.rtings.com/images/reviews/headphones/logitech/g432/g432-design-medium.jpg,Logitech G432 Gaming Headset Review,Jean-Simon Bonneterre,Good audio reproduction.,Plasticky build quality.,Headphones,The Logitech G432 are straightforward wired gaming headphones with a great microphone for online games. They have a very good audio reproduction and they are com...,,https://www.rtings.com/headphones/reviews/logitech/g432-gaming-headset,2019-05-10
https://i.rtings.com/images/reviews/headphones/mee-audio/x7/x7-design-medium.jpg,MEE audio X7 Wireless Review,Sam Vafaei,Portable and stable design.,Bulkier than most in-ears.,Headphones,The MEE Audio X7 are budget wireless in-ears with a decently comfortable fit but a piercing sound quality that won't be for everyone. They won't be the best head...,,https://www.rtings.com/headphones/reviews/mee-audio/x7-wireless,2017-12-19
https://i.rtings.com/images/reviews/headphones/mee-audio/m9b/m9b-design-medium.jpg,MEE audio M9B Wireless Review,Sam Vafaei,Portable and stable design for sports.,Poor battery life and active features.,Headphones,"The MEE Audio M9B are super affordable wireless in-ears with a mediocre and bass-heavy sound. They have a lightweight, portable design, and they're stable enough...",,https://www.rtings.com/headphones/reviews/mee-audio/m9b-wireless,2018-01-10
https://i.rtings.com/images/reviews/headphones/logitech/g533/g533-design-medium.jpg,Logitech G533 Wireless Gaming Headset Review,Sam Vafaei,Great sound quality.,Bulky design.,Headphones,"The Logitech G533 are great-sounding gaming headsets, with a good build quality and a comfortable design. They have one of the best implementation of the Logitec...",,https://www.rtings.com/headphones/reviews/logitech/g533-wireless-gaming-headset,2017-11-30
https://i.rtings.com/images/reviews/headphones/logitech/g433/g433-design-medium.jpg,Logitech G433 Gaming Headset Review,Marc Henney,Negligible latency.,Poor noise isolation.,Headphones,"The Logitech G433 are a good gaming headset, with a well-balanced sound, and a versatile design for everyday use. They have a detachable mic, a regular aux cable...",,https://www.rtings.com/headphones/reviews/logitech/g433-gaming-headset,2018-05-03
https://i.rtings.com/images/articles/brands-shots/headphones/logitech/best-logitech-large.jpg,The 4 Best Logitech Headsets of 2020: Reviews,Nick Cheply,,,Headphones,The best wireless Logitech headset that we've tested to date is the Logitech G933 Wireless Gaming Headset. These headphones are quite comfortable thanks to their spacious ear cups with breathable pads.,,https://www.rtings.com/headphones/reviews/logitech,2020-02-20
https://i.rtings.com/images/reviews/headphones/koss/ksc75/ksc75-design-medium.jpg,Koss KSC75 Review,Sam Vafaei,Above-average sound quality.,"Poor noise isolation, by design.",Headphones,The Koss KSC75 are budget on-ear headphones with a stable ear-hook design. They're compact and will easily fit into your pockets. They also have an open design a...,,https://www.rtings.com/headphones/reviews/koss/ksc75,2017-08-01
https://i.rtings.com/images/reviews/headphones/logitech/g635/g635-design-medium.jpg,Logitech G635 Gaming Headset Review,Jean-Simon Bonneterre,Great audio reproduction.,Very bulky design.,Headphones,"The Logitech G635 are decent gaming headphones that have a great sound quality. Their wired connection is versatile and can be used with all platforms, which is ...",,https://www.rtings.com/headphones/reviews/logitech/g635-gaming-headset,2019-04-18
https://i.rtings.com/images/reviews/headphones/logitech/g-pro/g-pro-design-medium.jpg,Logitech G Pro Gaming Headset Review,Marc Henney,Negligible latency.,Poor noise isolation.,Headphones,The Logitech G Pro is an above-average gaming headset with a casual design for most use cases. These headphones look almost identical to the G433 but with a slig...,,https://www.rtings.com/headphones/reviews/logitech/g-pro-gaming-headset,2018-06-14
https://i.rtings.com/images/reviews/headphones/koss/qz900/qz900-design-medium.jpg,Koss QZ900 Review,Sam Vafaei,Lightweight and comfortable.,Poor in-line control options.,Headphones,"The Koss QZ900 are comfortable mid-tier heaphones that deliver decent noise isolation and passable but bass-heavy audio reproduction. However, the all-plastic bu...",,https://www.rtings.com/headphones/reviews/koss/qz900,2016-02-29
https://i.rtings.com/images/reviews/headphones/logitech/g-pro-x/g-pro-x-design-medium.jpg,Logitech G Pro X Gaming Headset Review,Jean-Simon Bonneterre,Very comfortable and sturdy design.,Sub-par noise isolation.,Headphones,The Logitech G Pro X is a good sounding gaming headset that has lots of customization options. It's one of the most comfortable and better-built gaming headsets ...,,https://www.rtings.com/headphones/reviews/logitech/g-pro-x-gaming-headset,2019-08-13
https://i.rtings.com/images/reviews/headphones/logitech/g933/g933-design-medium.jpg,Logitech G933 Wireless Gaming Headset Review,Marc Henney,Good microphone quality.,Bulky design.,Headphones,"The Logitech G933 deliver on all the essentials that make a great gaming headphone. They have very low latency, a great mic, decent sound quality, and lots of cu...",,https://www.rtings.com/headphones/reviews/logitech/g933-wireless-gaming-headset,2018-07-12
